date,value
2010-01-01,2.1
2010-04-01,2.8
2010-07-01,2.4
2010-10-01,1.6
2011-01-01,1.1
2011-04-01,2.1
2011-07-01,2.9
2011-10-01,2.7
2012-01-01,4.8
2012-04-01,3.4
2012-07-01,3.4
2012-10-01,3.9
2013-01-01,0.2
2013-04-01,4.5
2013-07-01,3.1
2013-10-01,2.5
2014-01-01,3.9
2014-04-01,1.0
2014-07-01,2.2
2014-10-01,2.0
2015-01-01,1.7
2015-04-01,2.3
2015-07-01,1.8
2015-10-01,0.8
2016-01-01,0.4
2016-04-01,2.3
2016-07-01,-0.3
2016-10-01,1.8
2017-01-01,5.3
2017-04-01,-1.0
2017-07-01,2.2
2017-10-01,3.1
2018-01-01,0.1
2018-04-01,4.5
2018-07-01,1.8
2018-10-01,2.3
2019-01-01,3.6
2019-04-01,0.6
2019-07-01,4.1
2019-10-01,2.5
2020-01-01,-0.2
2020-04-01,-6.1
2020-07-01,-3.2
2020-10-01,-1.5
2021-01-01,-0.6
2021-04-01,7.7
2021-07-01,5.4
2021-10-01,6.4
2022-01-01,7.6
2022-04-01,6.1
2022-07-01,4.5
2022-10-01,2.9
2023-01-01,3.5
2023-04-01,0.7
2023-07-01,0.0
2023-10-01,-0.5
2024-01-01,-2.5
2024-04-01,2.5
2024-07-01,1.8
2024-10-01,0.9
2025-01-01,3.1
2025-04-01,0.7
2025-07-01,1.4
2025-10-01,1.7
2026-01-01,0.5
